Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
12/21/2022,8:30 PM,9:30 PM,Edmonton Oilers,6,Dallas Stars,3,Regulation
12/21/2022,9:00 PM,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,5,Regulation
12/21/2022,9:00 PM,10:00 PM,Minnesota Wild,4,Anaheim Ducks,1,Regulation
12/22/2022,1:00 PM,2:00 PM,Philadelphia Flyers,3,Toronto Maple Leafs,4,Regulation
12/22/2022,6:00 PM,7:00 PM,Carolina Hurricanes,4,Pittsburgh Penguins,3,OT
12/22/2022,6:00 PM,7:00 PM,New York Islanders,3,New York Rangers,5,Regulation
12/22/2022,6:00 PM,7:00 PM,Washington Capitals,3,Ottawa Senators,2,OT
12/22/2022,6:00 PM,7:00 PM,Winnipeg Jets,2,Boston Bruins,3,Regulation
12/22/2022,9:00 PM,10:00 PM,Seattle Kraken,5,Vancouver Canucks,6,SO
12/22/2022,9:30 PM,10:30 PM,Calgary Flames,3,Los Angeles Kings,4,OT
12/22/2022,9:30 PM,10:30 PM,Minnesota Wild,2,San Jose Sharks,5,Regulation
12/23/2022,6:00 PM,7:00 PM,Boston Bruins,4,New Jersey Devils,3,Regulation
12/23/2022,6:00 PM,7:00 PM,Philadelphia Flyers,5,Carolina Hurricanes,6,Regulation
12/23/2022,6:00 PM,7:00 PM,Winnipeg Jets,1,Washington Capitals,4,Regulation
12/23/2022,6:30 PM,7:30 PM,Florida Panthers,1,New York Islanders,5,Regulation
12/23/2022,7:00 PM,8:00 PM,Colorado Avalanche,3,Nashville Predators,2,OT
12/23/2022,7:00 PM,8:00 PM,Montreal Canadiens,2,Dallas Stars,4,Regulation
12/23/2022,7:30 PM,8:30 PM,Columbus Blue Jackets,2,Chicago Blackhawks,5,Regulation
12/23/2022,8:00 PM,9:00 PM,Vancouver Canucks,5,Edmonton Oilers,2,Regulation
12/23/2022,8:30 PM,9:30 PM,Los Angeles Kings,1,Arizona Coyotes,2,SO
12/23/2022,9:00 PM,10:00 PM,St. Louis Blues,4,Vegas Golden Knights,5,SO
12/23/2022,9:30 PM,10:30 PM,Calgary Flames,3,Anaheim Ducks,2,OT
12/27/2022,6:00 PM,7:00 PM,Boston Bruins,2,Ottawa Senators,3,SO
12/27/2022,6:00 PM,7:00 PM,Chicago Blackhawks,0,Carolina Hurricanes,3,Regulation
12/27/2022,6:00 PM,7:00 PM,Washington Capitals,4,New York Rangers,0,Regulation
12/27/2022,6:30 PM,7:30 PM,Pittsburgh Penguins,1,New York Islanders,5,Regulation
12/27/2022,7:00 PM,8:00 PM,Dallas Stars,3,Nashville Predators,2,Regulation
12/27/2022,7:00 PM,8:00 PM,Minnesota Wild,4,Winnipeg Jets,1,Regulation
12/27/2022,7:00 PM,8:00 PM,Toronto Maple Leafs,5,St. Louis Blues,4,OT
12/27/2022,8:00 PM,9:00 PM,Colorado Avalanche,3,Arizona Coyotes,6,Regulation
12/27/2022,8:00 PM,9:00 PM,Edmonton Oilers,2,Calgary Flames,1,Regulation
12/27/2022,9:00 PM,10:00 PM,San Jose Sharks,2,Vancouver Canucks,6,Regulation
12/27/2022,9:30 PM,10:30 PM,Vegas Golden Knights,2,Los Angeles Kings,4,Regulation
12/28/2022,6:00 PM,7:00 PM,Montreal Canadiens,1,Tampa Bay Lightning,4,Regulation
12/28/2022,6:30 PM,7:30 PM,Boston Bruins,3,New Jersey Devils,1,Regulation
12/28/2022,6:30 PM,7:30 PM,Detroit Red Wings,5,Pittsburgh Penguins,4,OT
12/28/2022,9:00 PM,10:00 PM,Calgary Flames,3,Seattle Kraken,2,Regulation
12/28/2022,9:00 PM,10:00 PM,Vegas Golden Knights,2,Anaheim Ducks,3,SO
12/29/2022,6:00 PM,7:00 PM,Detroit Red Wings,3,Buffalo Sabres,6,Regulation
12/29/2022,6:00 PM,7:00 PM,Montreal Canadiens,2,Florida Panthers,7,Regulation
12/29/2022,6:00 PM,7:00 PM,New York Rangers,1,Tampa Bay Lightning,2,SO
12/29/2022,6:00 PM,7:00 PM,Ottawa Senators,4,Washington Capitals,3,OT
12/29/2022,6:30 PM,7:30 PM,Columbus Blue Jackets,1,New York Islanders,2,Regulation
12/29/2022,7:00 PM,8:00 PM,Chicago Blackhawks,1,St. Louis Blues,3,Regulation
12/29/2022,7:00 PM,8:00 PM,Dallas Stars,4,Minnesota Wild,1,Regulation
12/29/2022,7:00 PM,8:00 PM,Vancouver Canucks,2,Winnipeg Jets,4,Regulation
12/29/2022,8:00 PM,9:00 PM,Los Angeles Kings,5,Colorado Avalanche,4,SO
12/29/2022,8:00 PM,9:00 PM,Toronto Maple Leafs,3,Arizona Coyotes,6,Regulation
12/29/2022,9:30 PM,10:30 PM,Philadelphia Flyers,4,San Jose Sharks,3,OT
12/30/2022,4:00 PM,5:00 PM,Nashville Predators,6,Anaheim Ducks,1,Regulation
12/30/2022,6:00 PM,7:00 PM,New Jersey Devils,4,Pittsburgh Penguins,2,Regulation
12/30/2022,6:30 PM,7:30 PM,Florida Panthers,0,Carolina Hurricanes,4,Regulation
12/30/2022,9:00 PM,10:00 PM,Edmonton Oilers,7,Seattle Kraken,2,Regulation
12/31/2022,12:00 PM,1:00 PM,Buffalo Sabres,4,Boston Bruins,3,OT
12/31/2022,12:00 PM,1:00 PM,Chicago Blackhawks,1,Columbus Blue Jackets,4,Regulation
12/31/2022,2:00 PM,3:00 PM,Nashville Predators,4,Vegas Golden Knights,5,OT
12/31/2022,3:00 PM,4:00 PM,Montreal Canadiens,2,Washington Capitals,9,Regulation
12/31/2022,3:00 PM,4:00 PM,Philadelphia Flyers,4,Los Angeles Kings,2,Regulation
12/31/2022,4:00 PM,5:00 PM,Arizona Coyotes,3,Tampa Bay Lightning,5,Regulation
12/31/2022,5:00 PM,6:00 PM,Minnesota Wild,5,St. Louis Blues,2,Regulation
12/31/2022,6:00 PM,7:00 PM,Ottawa Senators,2,Detroit Red Wings,4,Regulation
12/31/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,6,Colorado Avalanche,2,Regulation
12/31/2022,7:00 PM,8:00 PM,San Jose Sharks,2,Dallas Stars,5,Regulation
12/31/2022,9:00 PM,10:00 PM,Vancouver Canucks,2,Calgary Flames,3,Regulation
12/31/2022,9:00 PM,10:00 PM,Winnipeg Jets,2,Edmonton Oilers,1,Regulation
1/1/2023,2:00 PM,3:00 PM,Carolina Hurricanes,5,New Jersey Devils,4,SO
1/1/2023,4:00 PM,5:00 PM,New York Rangers,5,Florida Panthers,3,Regulation
1/1/2023,6:00 PM,7:00 PM,Buffalo Sabres,1,Ottawa Senators,3,Regulation
1/1/2023,6:00 PM,7:00 PM,San Jose Sharks,5,Chicago Blackhawks,2,Regulation
1/1/2023,7:00 PM,8:00 PM,New York Islanders,1,Seattle Kraken,4,Regulation
1/2/2023,1:00 PM,2:00 PM,Pittsburgh Penguins,1,Boston Bruins,2,Regulation
1/2/2023,8:00 PM,9:00 PM,Vegas Golden Knights,3,Colorado Avalanche,2,Regulation
1/2/2023,9:00 PM,10:00 PM,Philadelphia Flyers,4,Anaheim Ducks,1,Regulation
1/3/2023,6:00 PM,7:00 PM,Arizona Coyotes,3,Florida Panthers,5,Regulation
1/3/2023,6:00 PM,7:00 PM,Buffalo Sabres,5,Washington Capitals,4,OT
1/3/2023,6:00 PM,7:00 PM,Carolina Hurricanes,3,New York Rangers,5,Regulation
1/3/2023,6:00 PM,7:00 PM,Columbus Blue Jackets,0,Ottawa Senators,4,Regulation
1/3/2023,6:00 PM,7:00 PM,St. Louis Blues,6,Toronto Maple Leafs,5,SO
1/3/2023,7:00 PM,8:00 PM,Calgary Flames,2,Winnipeg Jets,3,Regulation
1/3/2023,7:00 PM,8:00 PM,Montreal Canadiens,3,Nashville Predators,6,Regulation
1/3/2023,7:30 PM,8:30 PM,Tampa Bay Lightning,4,Chicago Blackhawks,1,Regulation
1/3/2023,8:00 PM,9:00 PM,Seattle Kraken,5,Edmonton Oilers,2,Regulation
1/3/2023,9:00 PM,10:00 PM,New York Islanders,6,Vancouver Canucks,2,Regulation
1/3/2023,9:00 PM,10:00 PM,Dallas Stars,2,Los Angeles Kings,3,Regulation
1/4/2023,6:00 PM,7:00 PM,New Jersey Devils,5,Detroit Red Wings,1,Regulation
1/4/2023,8:30 PM,9:30 PM,Tampa Bay Lightning,1,Minnesota Wild,5,Regulation
1/4/2023,9:00 PM,10:00 PM,Dallas Stars,0,Anaheim Ducks,2,Regulation
1/5/2023,6:00 PM,7:00 PM,Arizona Coyotes,2,Philadelphia Flyers,6,Regulation
1/5/2023,6:00 PM,7:00 PM,New York Rangers,4,Montreal Canadiens,1,Regulation
1/5/2023,6:00 PM,7:00 PM,Nashville Predators,5,Carolina Hurricanes,3,Regulation
1/5/2023,6:00 PM,7:00 PM,Seattle Kraken,5,Toronto Maple Leafs,1,Regulation
1/5/2023,6:00 PM,7:00 PM,St. Louis Blues,5,New Jersey Devils,3,Regulation
1/5/2023,6:00 PM,7:00 PM,Washington Capitals,6,Columbus Blue Jackets,2,Regulation
1/5/2023,8:00 PM,9:00 PM,New York Islanders,2,Edmonton Oilers,4,Regulation
1/5/2023,9:00 PM,10:00 PM,Colorado Avalanche,2,Vancouver Canucks,4,Regulation
1/5/2023,9:00 PM,10:00 PM,Pittsburgh Penguins,2,Vegas Golden Knights,5,Regulation
1/5/2023,9:30 PM,10:30 PM,Boston Bruins,5,Los Angeles Kings,2,Regulation
1/6/2023,6:00 PM,7:00 PM,Nashville Predators,3,Washington Capitals,2,Regulation
1/6/2023,6:00 PM,7:00 PM,Florida Panthers,3,Detroit Red Wings,2,Regulation
1/6/2023,7:00 PM,8:00 PM,Tampa Bay Lightning,2,Winnipeg Jets,4,Regulation
1/6/2023,7:30 PM,8:30 PM,Arizona Coyotes,0,Chicago Blackhawks,2,Regulation
1/6/2023,8:00 PM,9:00 PM,New York Islanders,1,Calgary Flames,4,Regulation
1/6/2023,9:00 PM,10:00 PM,San Jose Sharks,4,Anaheim Ducks,5,OT
1/7/2023,12:00 PM,1:00 PM,New York Rangers,3,New Jersey Devils,4,OT
1/7/2023,3:00 PM,4:00 PM,Carolina Hurricanes,3,Columbus Blue Jackets,4,SO
1/7/2023,6:00 PM,7:00 PM,Detroit Red Wings,1,Toronto Maple Leafs,4,Regulation
1/7/2023,6:00 PM,7:00 PM,Minnesota Wild,5,Buffalo Sabres,6,OT
1/7/2023,6:00 PM,7:00 PM,Seattle Kraken,8,Ottawa Senators,4,Regulation
1/7/2023,6:00 PM,7:00 PM,St. Louis Blues,4,Montreal Canadiens,5,Regulation
1/7/2023,9:00 PM,10:00 PM,Colorado Avalanche,3,Edmonton Oilers,2,OT
1/7/2023,9:00 PM,10:00 PM,Los Angeles Kings,5,Vegas Golden Knights,1,Regulation
1/7/2023,9:30 PM,10:30 PM,Boston Bruins,4,San Jose Sharks,2,Regulation
1/8/2023,2:00 PM,3:00 PM,Vancouver Canucks,4,Winnipeg Jets,7,Regulation
1/8/2023,2:30 PM,3:30 PM,Florida Panthers,1,Dallas Stars,5,Regulation
1/8/2023,4:00 PM,5:00 PM,Columbus Blue Jackets,0,Washington Capitals,1,Regulation
1/8/2023,6:00 PM,7:00 PM,Calgary Flames,3,Chicago Blackhawks,4,OT
1/8/2023,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Arizona Coyotes,1,Regulation
1/8/2023,6:00 PM,7:00 PM,St. Louis Blues,3,Minnesota Wild,0,Regulation
1/8/2023,6:00 PM,7:00 PM,Toronto Maple Leafs,6,Philadelphia Flyers,2,Regulation
1/8/2023,7:30 PM,8:30 PM,Boston Bruins,7,Anaheim Ducks,1,Regulation
1/9/2023,6:00 PM,7:00 PM,Philadelphia Flyers,4,Buffalo Sabres,0,Regulation
1/9/2023,6:30 PM,7:30 PM,Nashville Predators,3,Ottawa Senators,0,Regulation
1/9/2023,6:30 PM,7:30 PM,Seattle Kraken,4,Montreal Canadiens,0,Regulation
1/9/2023,9:30 PM,10:30 PM,Edmonton Oilers,3,Los Angeles Kings,6,Regulation
1/10/2023,6:00 PM,7:00 PM,Columbus Blue Jackets,3,Tampa Bay Lightning,6,Regulation
1/10/2023,6:00 PM,7:00 PM,Minnesota Wild,3,New York Rangers,4,SO
1/10/2023,6:00 PM,7:00 PM,New Jersey Devils,5,Carolina Hurricanes,3,Regulation
1/10/2023,6:00 PM,7:00 PM,Seattle Kraken,4,Buffalo Sabres,3,Regulation
1/10/2023,6:00 PM,7:00 PM,Vancouver Canucks,4,Pittsburgh Penguins,5,Regulation
1/10/2023,6:00 PM,7:00 PM,Winnipeg Jets,5,Detroit Red Wings,7,Regulation
1/10/2023,6:30 PM,7:30 PM,Dallas Stars,2,New York Islanders,1,SO
1/10/2023,7:00 PM,8:00 PM,Calgary Flames,3,St. Louis Blues,4,OT
1/10/2023,8:00 PM,9:00 PM,San Jose Sharks,4,Arizona Coyotes,2,Regulation
1/10/2023,8:30 PM,9:30 PM,Florida Panthers,5,Colorado Avalanche,4,Regulation
1/11/2023,6:00 PM,7:00 PM,Washington Capitals,3,Philadelphia Flyers,5,Regulation
1/11/2023,6:30 PM,7:30 PM,Nashville Predators,1,Toronto Maple Leafs,2,Regulation
1/11/2023,9:00 PM,10:00 PM,Edmonton Oilers,6,Anaheim Ducks,2,Regulation
1/11/2023,9:00 PM,10:00 PM,San Jose Sharks,3,Los Angeles Kings,4,Regulation
1/12/2023,6:00 PM,7:00 PM,Carolina Hurricanes,6,Columbus Blue Jackets,2,Regulation
1/12/2023,6:00 PM,7:00 PM,Dallas Stars,1,New York Rangers,2,OT
1/12/2023,6:00 PM,7:00 PM,Nashville Predators,3,Montreal Canadiens,4,Regulation
1/12/2023,6:00 PM,7:00 PM,Seattle Kraken,3,Boston Bruins,0,Regulation
1/12/2023,6:00 PM,7:00 PM,Toronto Maple Leafs,1,Detroit Red Wings,4,Regulation
1/12/2023,6:00 PM,7:00 PM,Vancouver Canucks,4,Tampa Bay Lightning,5,Regulation
1/12/2023,6:00 PM,7:00 PM,Winnipeg Jets,4,Buffalo Sabres,2,Regulation
1/12/2023,6:30 PM,7:30 PM,Minnesota Wild,3,New York Islanders,1,Regulation
1/12/2023,7:00 PM,8:00 PM,Calgary Flames,4,St. Louis Blues,1,Regulation
1/12/2023,7:30 PM,8:30 PM,Colorado Avalanche,2,Chicago Blackhawks,3,Regulation
1/12/2023,8:00 PM,9:00 PM,Ottawa Senators,5,Arizona Coyotes,3,Regulation
1/12/2023,9:00 PM,10:00 PM,Florida Panthers,2,Vegas Golden Knights,4,Regulation
1/13/2023,6:00 PM,7:00 PM,Winnipeg Jets,4,Pittsburgh Penguins,1,Regulation
1/13/2023,9:00 PM,10:00 PM,New Jersey Devils,6,Anaheim Ducks,2,Regulation
1/13/2023,9:30 PM,10:30 PM,Edmonton Oilers,7,San Jose Sharks,1,Regulation
1/14/2023,1:00 PM,2:00 PM,Calgary Flames,6,Dallas Stars,5,Regulation
1/14/2023,6:00 PM,7:00 PM,Columbus Blue Jackets,4,Detroit Red Wings,3,Regulation
1/14/2023,6:00 PM,7:00 PM,Montreal Canadiens,1,New York Islanders,2,Regulation
1/14/2023,6:00 PM,7:00 PM,Ottawa Senators,0,Colorado Avalanche,7,Regulation
1/14/2023,6:00 PM,7:00 PM,Philadelphia Flyers,3,Washington Capitals,1,Regulation
1/14/2023,6:00 PM,7:00 PM,Pittsburgh Penguins,1,Carolina Hurricanes,2,Regulation
1/14/2023,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Boston Bruins,4,Regulation
1/14/2023,6:00 PM,7:00 PM,Vancouver Canucks,3,Florida Panthers,4,Regulation
1/14/2023,7:00 PM,8:00 PM,Arizona Coyotes,1,Minnesota Wild,2,Regulation
1/14/2023,7:00 PM,8:00 PM,Buffalo Sabres,5,Nashville Predators,3,Regulation
1/14/2023,7:00 PM,8:00 PM,Seattle Kraken,8,Chicago Blackhawks,5,Regulation
1/14/2023,7:00 PM,8:00 PM,Tampa Bay Lightning,4,St. Louis Blues,2,Regulation
1/14/2023,9:00 PM,10:00 PM,Edmonton Oilers,4,Vegas Golden Knights,3,Regulation
1/14/2023,9:30 PM,10:30 PM,New Jersey Devils,5,Los Angeles Kings,2,Regulation
1/15/2023,4:00 PM,5:00 PM,Montreal Canadiens,2,New York Rangers,1,Regulation
1/15/2023,4:00 PM,5:00 PM,Vancouver Canucks,4,Carolina Hurricanes,3,SO
1/15/2023,6:00 PM,7:00 PM,Arizona Coyotes,1,Winnipeg Jets,2,Regulation
1/16/2023,12:00 PM,1:00 PM,Florida Panthers,4,Buffalo Sabres,1,Regulation
1/16/2023,12:00 PM,1:00 PM,Philadelphia Flyers,0,Boston Bruins,6,Regulation
1/16/2023,2:00 PM,3:00 PM,Detroit Red Wings,3,Colorado Avalanche,6,Regulation
1/16/2023,3:00 PM,4:00 PM,New Jersey Devils,4,San Jose Sharks,3,SO
1/16/2023,3:00 PM,4:00 PM,Tampa Bay Lightning,4,Seattle Kraken,1,Regulation
1/16/2023,5:00 PM,6:00 PM,Dallas Stars,4,Vegas Golden Knights,0,Regulation
1/16/2023,6:00 PM,7:00 PM,Anaheim Ducks,3,Pittsburgh Penguins,4,OT
1/16/2023,6:00 PM,7:00 PM,New York Rangers,3,Columbus Blue Jackets,1,Regulation
1/16/2023,6:30 PM,7:30 PM,Washington Capitals,4,New York Islanders,3,OT
1/16/2023,7:00 PM,8:00 PM,Calgary Flames,1,Nashville Predators,2,Regulation
1/16/2023,7:00 PM,8:00 PM,Ottawa Senators,1,St. Louis Blues,2,Regulation
1/17/2023,6:00 PM,7:00 PM,Anaheim Ducks,2,Philadelphia Flyers,5,Regulation
1/17/2023,6:00 PM,7:00 PM,Florida Panthers,4,Toronto Maple Leafs,5,OT
1/17/2023,6:00 PM,7:00 PM,Minnesota Wild,4,Washington Capitals,2,Regulation
1/17/2023,6:00 PM,7:00 PM,Winnipeg Jets,1,Montreal Canadiens,4,Regulation
1/17/2023,7:00 PM,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,2,Regulation
1/17/2023,7:30 PM,8:30 PM,Buffalo Sabres,3,Chicago Blackhawks,4,OT
1/17/2023,8:00 PM,9:00 PM,Detroit Red Wings,3,Arizona Coyotes,4,SO
1/17/2023,8:00 PM,9:00 PM,Seattle Kraken,2,Edmonton Oilers,5,Regulation
1/18/2023,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Ottawa Senators,5,OT
1/18/2023,6:30 PM,7:30 PM,Boston Bruins,4,New York Islanders,1,Regulation
1/18/2023,8:30 PM,9:30 PM,Colorado Avalanche,4,Calgary Flames,1,Regulation
1/18/2023,9:00 PM,10:00 PM,Tampa Bay Lightning,5,Vancouver Canucks,2,Regulation
1/18/2023,9:00 PM,10:00 PM,Dallas Stars,3,San Jose Sharks,5,Regulation
1/19/2023,6:00 PM,7:00 PM,Anaheim Ducks,5,Columbus Blue Jackets,3,Regulation
1/19/2023,6:00 PM,7:00 PM,Boston Bruins,3,New York Rangers,1,Regulation
1/19/2023,6:00 PM,7:00 PM,Chicago Blackhawks,4,Philadelphia Flyers,1,Regulation
1/19/2023,6:00 PM,7:00 PM,Florida Panthers,6,Montreal Canadiens,2,Regulation
1/19/2023,6:00 PM,7:00 PM,Minnesota Wild,2,Carolina Hurricanes,5,Regulation
1/19/2023,6:00 PM,7:00 PM,Winnipeg Jets,1,Toronto Maple Leafs,4,Regulation
1/19/2023,6:30 PM,7:30 PM,New York Islanders,2,Buffalo Sabres,3,OT
1/19/2023,7:00 PM,8:00 PM,Nashville Predators,2,St. Louis Blues,5,Regulation
1/19/2023,8:00 PM,9:00 PM,Tampa Bay Lightning,3,Edmonton Oilers,5,Regulation
1/19/2023,8:00 PM,9:00 PM,Washington Capitals,4,Arizona Coyotes,0,Regulation
1/19/2023,9:00 PM,10:00 PM,Detroit Red Wings,3,Vegas Golden Knights,2,Regulation
1/19/2023,9:00 PM,10:00 PM,New Jersey Devils,3,Seattle Kraken,4,OT
1/19/2023,9:30 PM,10:30 PM,Dallas Stars,4,Los Angeles Kings,0,Regulation
1/20/2023,6:00 PM,7:00 PM,Ottawa Senators,1,Pittsburgh Penguins,4,Regulation
1/20/2023,9:00 PM,10:00 PM,Colorado Avalanche,4,Vancouver Canucks,1,Regulation
1/21/2023,11:30 AM,12:30 PM,Anaheim Ducks,3,Buffalo Sabres,6,Regulation
1/21/2023,2:00 PM,3:00 PM,Tampa Bay Lightning,3,Calgary Flames,6,Regulation
1/21/2023,5:00 PM,6:00 PM,Minnesota Wild,3,Florida Panthers,5,Regulation
1/21/2023,6:00 PM,7:00 PM,Philadelphia Flyers,2,Detroit Red Wings,1,Regulation
1/21/2023,6:00 PM,7:00 PM,San Jose Sharks,3,Columbus Blue Jackets,5,Regulation
1/21/2023,6:00 PM,7:00 PM,Toronto Maple Leafs,2,Montreal Canadiens,3,OT
1/21/2023,6:00 PM,7:00 PM,Winnipeg Jets,5,Ottawa Senators,1,Regulation
1/21/2023,6:30 PM,7:30 PM,Carolina Hurricanes,5,New York Islanders,2,Regulation
1/21/2023,7:00 PM,8:00 PM,Arizona Coyotes,0,Dallas Stars,4,Regulation
1/21/2023,7:00 PM,8:00 PM,Chicago Blackhawks,5,St. Louis Blues,3,Regulation
1/21/2023,7:00 PM,8:00 PM,Los Angeles Kings,3,Nashville Predators,5,Regulation
1/21/2023,9:00 PM,10:00 PM,Colorado Avalanche,2,Seattle Kraken,1,SO
1/21/2023,9:00 PM,10:00 PM,Edmonton Oilers,4,Vancouver Canucks,2,Regulation
1/21/2023,9:00 PM,10:00 PM,Washington Capitals,2,Vegas Golden Knights,6,Regulation
1/22/2023,1:00 PM,2:00 PM,Pittsburgh Penguins,1,New Jersey Devils,2,OT
1/22/2023,6:00 PM,7:00 PM,Los Angeles Kings,2,Chicago Blackhawks,1,Regulation
1/22/2023,6:00 PM,7:00 PM,San Jose Sharks,0,Boston Bruins,4,Regulation
1/22/2023,6:00 PM,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,3,Regulation
1/22/2023,7:00 PM,8:00 PM,Vegas Golden Knights,1,Arizona Coyotes,4,Regulation
1/23/2023,6:00 PM,7:00 PM,Florida Panthers,2,New York Rangers,6,Regulation
1/23/2023,6:00 PM,7:00 PM,New York Islanders,2,Toronto Maple Leafs,5,Regulation
1/23/2023,7:30 PM,8:30 PM,Buffalo Sabres,3,Dallas Stars,2,OT
1/23/2023,8:30 PM,9:30 PM,Columbus Blue Jackets,3,Calgary Flames,4,OT
1/24/2023,6:00 PM,7:00 PM,Boston Bruins,4,Montreal Canadiens,2,Regulation
1/24/2023,6:00 PM,7:00 PM,Florida Panthers,6,Pittsburgh Penguins,7,OT
1/24/2023,6:00 PM,7:00 PM,Los Angeles Kings,4,Philadelphia Flyers,3,OT
1/24/2023,6:00 PM,7:00 PM,Minnesota Wild,2,Tampa Bay Lightning,4,Regulation
1/24/2023,6:00 PM,7:00 PM,San Jose Sharks,2,Detroit Red Wings,3,OT
1/24/2023,6:30 PM,7:30 PM,Vegas Golden Knights,2,New Jersey Devils,3,OT
1/24/2023,7:00 PM,8:00 PM,Buffalo Sabres,5,St. Louis Blues,3,Regulation
1/24/2023,7:00 PM,8:00 PM,Winnipeg Jets,1,Nashville Predators,2,Regulation
1/24/2023,8:00 PM,9:00 PM,Anaheim Ducks,5,Arizona Coyotes,2,Regulation
1/24/2023,8:00 PM,9:00 PM,Washington Capitals,2,Colorado Avalanche,3,Regulation
1/24/2023,9:00 PM,10:00 PM,Chicago Blackhawks,2,Vancouver Canucks,5,Regulation
1/25/2023,6:00 PM,7:00 PM,New York Islanders,1,Ottawa Senators,2,Regulation
1/25/2023,6:00 PM,7:00 PM,New York Rangers,2,Toronto Maple Leafs,3,OT
1/25/2023,7:30 PM,8:30 PM,Carolina Hurricanes,3,Dallas Stars,2,OT
1/25/2023,8:30 PM,9:30 PM,Columbus Blue Jackets,3,Edmonton Oilers,2,OT
1/25/2023,9:00 PM,10:00 PM,Vancouver Canucks,1,Seattle Kraken,6,Regulation
1/26/2023,6:00 PM,7:00 PM,Boston Bruins,2,Tampa Bay Lightning,3,Regulation
1/26/2023,6:00 PM,7:00 PM,Detroit Red Wings,4,Montreal Canadiens,3,OT
1/26/2023,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Washington Capitals,3,SO
1/26/2023,7:00 PM,8:00 PM,Buffalo Sabres,3,Winnipeg Jets,2,Regulation
1/26/2023,7:00 PM,8:00 PM,New Jersey Devils,4,Nashville Predators,6,Regulation
1/26/2023,7:00 PM,8:00 PM,Philadelphia Flyers,2,Minnesota Wild,3,OT
1/26/2023,8:00 PM,9:00 PM,Anaheim Ducks,5,Colorado Avalanche,3,Regulation
1/26/2023,8:00 PM,9:00 PM,Chicago Blackhawks,5,Calgary Flames,1,Regulation
1/26/2023,8:00 PM,9:00 PM,St. Louis Blues,0,Arizona Coyotes,5,Regulation
1/27/2023,6:00 PM,7:00 PM,Detroit Red Wings,0,New York Islanders,2,Regulation
1/27/2023,6:00 PM,7:00 PM,Los Angeles Kings,4,Florida Panthers,3,Regulation
1/27/2023,6:00 PM,7:00 PM,Ottawa Senators,6,Toronto Maple Leafs,2,Regulation
1/27/2023,6:00 PM,7:00 PM,San Jose Sharks,4,Carolina Hurricanes,5,OT
1/27/2023,6:00 PM,7:00 PM,Vegas Golden Knights,1,New York Rangers,4,Regulation
1/27/2023,7:30 PM,8:30 PM,New Jersey Devils,3,Dallas Stars,2,OT
